#EN          DATA        DATA-ERR    
#EV          B           B           
2.7240e+01  8.5753e+00  9.0384e-02  
2.7493e+01  8.6103e+00  9.0379e-02  
2.7749e+01  8.5208e+00  8.8122e-02  
2.8009e+01  7.7248e+00  5.8786e-02  
2.8272e+01  7.7551e+00  5.6064e-02  
2.8539e+01  7.7386e+00  5.5604e-02  
2.8810e+01  7.6907e+00  5.5340e-02  
2.9085e+01  7.7725e+00  5.5175e-02  
2.9364e+01  7.7551e+00  5.4622e-02  
2.9647e+01  7.8044e+00  5.4269e-02  
2.9934e+01  7.7677e+00  5.4313e-02  
3.0225e+01  7.7177e+00  5.3258e-02  
3.0520e+01  7.7381e+00  5.3086e-02  
3.0820e+01  7.6993e+00  5.2686e-02  
3.1124e+01  7.7063e+00  5.1971e-02  
3.1433e+01  7.7270e+00  5.1685e-02  
3.1746e+01  7.7748e+00  5.1423e-02  
3.2064e+01  7.7963e+00  5.1524e-02  
3.2387e+01  7.6767e+00  5.0713e-02  
3.2715e+01  7.7499e+00  5.0308e-02  
3.3047e+01  7.7155e+00  4.9828e-02  
3.3385e+01  7.8209e+00  4.9932e-02  
3.3728e+01  7.6568e+00  4.9040e-02  
3.4077e+01  7.7016e+00  4.8593e-02  
3.4431e+01  7.6744e+00  4.8288e-02  
3.4790e+01  7.7095e+00  4.8182e-02  
3.5155e+01  7.6549e+00  4.7396e-02  
3.5526e+01  7.7007e+00  4.7376e-02  
3.5902e+01  7.7199e+00  4.7206e-02  
3.6285e+01  7.6959e+00  4.6828e-02  
3.6674e+01  7.7770e+00  4.6629e-02  
3.7069e+01  7.6342e+00  4.5950e-02  
3.7470e+01  7.7194e+00  4.5685e-02  
3.7878e+01  7.6772e+00  4.5196e-02  
3.8293e+01  7.7106e+00  4.5154e-02  
3.8715e+01  7.6240e+00  4.4395e-02  
3.9143e+01  7.7009e+00  4.4511e-02  
3.9579e+01  7.6796e+00  4.4071e-02  
4.0022e+01  7.7451e+00  4.3869e-02  
4.0473e+01  7.6623e+00  4.3311e-02  
4.0931e+01  7.6680e+00  4.2849e-02  
4.1397e+01  7.6949e+00  4.2806e-02  
4.1871e+01  7.6651e+00  4.2306e-02  
4.2354e+01  7.6445e+00  4.1936e-02  
4.2844e+01  7.6128e+00  4.1425e-02  
4.3343e+01  7.7390e+00  4.1639e-02  
4.3851e+01  7.7142e+00  4.1289e-02  
4.4368e+01  7.6258e+00  4.0654e-02  
4.4894e+01  7.6295e+00  4.1328e-02  
4.5282e+01  7.6501e+00  5.6961e-02  
4.5552e+01  7.7094e+00  5.6985e-02  
4.5824e+01  7.6006e+00  5.6490e-02  
4.6099e+01  7.5806e+00  5.6097e-02  
4.6377e+01  7.5862e+00  5.6191e-02  
4.6657e+01  7.6901e+00  5.5941e-02  
4.6939e+01  7.5983e+00  5.5500e-02  
4.7224e+01  7.6948e+00  5.5521e-02  
4.7512e+01  7.6683e+00  5.5195e-02  
4.7802e+01  7.6124e+00  5.4802e-02  
4.8095e+01  7.6357e+00  5.5012e-02  
4.8391e+01  7.5848e+00  5.4234e-02  
4.8689e+01  7.6822e+00  5.4575e-02  
4.8990e+01  7.7300e+00  5.4493e-02  
4.9294e+01  7.5446e+00  5.3832e-02  
4.9601e+01  7.6716e+00  5.3874e-02  
4.9911e+01  7.6494e+00  5.3625e-02  
5.0223e+01  7.6273e+00  5.3307e-02  
5.0539e+01  7.7022e+00  5.3438e-02  
5.0857e+01  7.5763e+00  5.2641e-02  
5.1179e+01  7.6635e+00  5.2977e-02  
5.1503e+01  7.7242e+00  5.2656e-02  
5.1831e+01  7.6561e+00  5.2558e-02  
5.2162e+01  7.5671e+00  5.1918e-02  
5.2496e+01  7.7238e+00  5.2072e-02  
5.2833e+01  7.6014e+00  5.1663e-02  
5.3174e+01  7.5228e+00  5.0843e-02  
5.3518e+01  7.6390e+00  5.1341e-02  
5.3865e+01  7.5891e+00  5.0958e-02  
5.4215e+01  7.5796e+00  5.0692e-02  
5.4569e+01  7.6569e+00  5.0724e-02  
5.4927e+01  7.5867e+00  5.0517e-02  
5.5288e+01  7.6947e+00  5.0373e-02  
5.5652e+01  7.5478e+00  5.0086e-02  
5.6020e+01  7.5567e+00  4.9621e-02  
5.6392e+01  7.5176e+00  4.9389e-02  
5.6768e+01  7.4114e+00  4.8845e-02  
5.7147e+01  7.6214e+00  4.9458e-02  
5.7530e+01  7.4673e+00  4.8699e-02  
5.7917e+01  7.5074e+00  4.8488e-02  
5.8308e+01  7.5861e+00  4.8720e-02  
5.8703e+01  7.5745e+00  4.8367e-02  
5.9102e+01  7.6048e+00  4.8500e-02  
5.9505e+01  7.5903e+00  4.8124e-02  
5.9912e+01  7.5831e+00  4.7883e-02  
6.0323e+01  7.6074e+00  4.7861e-02  
6.0738e+01  7.5272e+00  4.7250e-02  
6.1158e+01  7.6327e+00  4.7671e-02  
6.1583e+01  7.6045e+00  4.7136e-02  
